"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"40.0","112.0","8.0","6.27","6.89","0.43637061601727345"
"112.0","129.0","7.1","5.6","6.95","0.4136455537240484"
"130.0","148.0","7.66","7.14","6.83","0.5046650269928591"
"148.0","163.0","7.05","7.14","6.45","0.30550355142253816"
"164.0","186.0","7.78","6.38","7.62","0.5346529280569571"
"186.0","660.0","8.25","7.3","7.62","0.8416525471190636"
"661.0","684.0","7.7","5.5","6.7","0.13590814181339328"
"685.0","751.0","8.0","5.9","7.32","0.11015433672691202"
"752.0","915.0","7.89","7.45","7.26","0.6145137030979165"
"915.0","991.0","7.89","6.27","7.16","0.5953586364309615"
"992.0","1017.0","5.23","4.52","6.05","0.49606032700543357"
"1018.0","1024.0","6.58","5.74","6.53","0.4009349896902691"
"1025.0","1034.0","6.92","4.64","5.91","0.35271442299633066"
"1035.0","1044.0","6.14","4.52","6.17","0.26844551969817293"
"1045.0","1058.0","6.4","5.79","6.52","0.2025561679919774"
"1059.0","1169.0","7.48","7.05","7.16","0.15660066322111824"
"1170.0","1368.0","7.44","7.05","7.42","0.3012326238693459"
"1369.0","1402.0","7.44","6.91","6.95","0.07802998027331266"
"1403.0","1424.0","7.73","5.3","7.37","0.04072115696135448"
"1424.0","1530.0","8.14","5.32","7.05","0.10866846958572642"
"1530.0","1622.0","7.78","6.3","7.62","0.3311862531082147"
"1623.0","1647.0","8.21","6.63","7.29","0.170088291286182"
"1648.0","1864.0","7.95","7.74","7.05","0.572524612909297"
"1865.0","1984.0","7.66","6.2","6.67","0.457579142085573"
"1985.0","1999.0","6.63","4.52","7.26","0.46761238159243246"
"2000.0","2014.0","6.47","4.52","6.1","0.2724608078582325"
"2015.0","2044.0","7.09","4.65","5.93","0.12386901751900628"
"2045.0","2066.0","7.09","5.57","6.44","0.04740811398794732"
"2067.0","2101.0","7.32","5.43","7.16","0.16560723971542796"
"2102.0","2279.0","7.95","7.74","7.72","0.3316991517052098"
"2280.0","2358.0","7.95","7.14","6.5","0.37147372422577596"
"2360.0","2365.0","6.92","5.08","6.72","0.03178204590440794"
"2425.0","2429.0","7.44","6.14","6.47","0.22240897434913698"
"2430.0","2496.0","7.44","6.55","6.56","0.20002545260347812"
"2436.0","2440.0","7.5","6.14","6.05","0.20002545260347812"
"2497.0","2506.0","7.05","6.55","6.43","0.22279007134666173"
"2507.0","2539.0","7.67","6.8","7.04","0.4497245305965299"
"2540.0","2557.0","7.23","5.05","6.17","0.5718320301812168"
"2558.0","2629.0","6.72","6.81","6.69","0.39834107464365465"
"2630.0","2644.0","6.27","5.1","6.17","0.09685838779709333"
"2645.0","2864.0","7.78","5.95","7.62","0.423660440349587"
"2681.0","2850.0","8.0","6.3","7.26","0.423660440349587"
"2865.0","2882.0","7.33","6.14","7.26","0.11738650490877764"
"2883.0","2909.0","6.78","5.14","6.71","0.15993387495080622"
"2910.0","3429.0","8.25","6.67","7.39","1.0"
"3285.0","3319.0","6.74","6.62","6.75","0.8100490111248967"
"3320.0","3324.0","3.17","6.35","3.62","0.7735342036763473"
"3325.0","3329.0","5.1","6.35","5.89","0.8309015696873098"
"3330.0","3429.0","7.89","6.43","7.0","0.7466478365450981"
"3429.0","3689.0","7.89","7.74","6.92","0.1768301942751639"
"3490.0","3610.0","7.95","6.9","7.43","0.10928544050271055"
"3610.0","3690.0","7.78","6.74","7.62","0.03613823315864372"
"3690.0","3751.0","7.56","6.86","7.39","0.19304707015425052"
"3785.0","3935.0","7.89","7.11","7.72","0.7183035128176151"
"3936.0","4085.0","7.89","6.9","7.63","0.3742529620550223"
"4137.0","4140.0","7.55","6.9","6.81","0.16831006850785152"
"4141.0","4360.0","8.0","6.76","7.62","0.593896977632952"
